q_amplicon,RA,recovered2,name2
ASV3872 Simkaniaceae,0.00978271075341878,false,ASV 3872 Simkaniaceae
ASV4036 Corynebacterium,0.0189330703744551,false,ASV 4036 Corynebacterium
ASV4237 Micrococcus,0.0569335229826904,true,ASV 4237 Micrococcus
ASV4544 Rhodococcus erythropolis,5.27714901915103,false,ASV 4544 Rhodococcus erythropolis
ASV4601 Paenibacillus sp.,0.217041762512028,true,ASV 4601 Paenibacillus
ASV4650 Brevibacillus,0.859162708115564,true,ASV 4650 Brevibacillus
ASV4674 Paenibacillus,1.34434717976804,true,ASV 4674 Paenibacillus
ASV4956 Gaiella,0.0021771078786385,false,ASV 4956 Gaiella
ASV5043 Gaiellales,0.00214431044012902,false,ASV 5043 Gaiellales
ASV5283 Obscuribacteraceae,0.00222993453016677,false,ASV 5283 Obscuribacteraceae
